google_place_id,name,category,primary_type,primary_type_name,activities,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJbRVqYzd5BjERWlSW5-MWULA,Narrowest Part of Thailand,attraction,tourist_attraction,Tourist Attraction,,11.7199226,102.90761119999999,"Sukhumvit Road , Hat Lek , 23110 Khlong Yai , Trat, ตำบล หาดเล็ก อำเภอ คลองใหญ่ ตราด 23110, Thailand",4.1,476,,OPERATIONAL,,https://maps.google.com/?cid=12704679716910945370&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJ6SpBMnRBBjERR2DfUcmfXgU,ជ្រោយប្រស់,attraction,tourist_attraction,Tourist Attraction,,11.3470605,103.1022199,"ឃុំ ជ្រោយប្រស់, Cambodia",4.3,33,,OPERATIONAL,,https://maps.google.com/?cid=386922305011277895&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJy6R6-s9uBjERMZZHbM2DqW0,Peam Krasaop Wildlife Sanctuary,nature,wildlife_park,Wildlife Park,walking;wildlife,11.5085302,103.09679279999999,"G35W+CP7, ឃុំ ពាមក្រសោប, Cambodia",4.3,301,,OPERATIONAL,,https://maps.google.com/?cid=7901991939506411057&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,wildlife_park;zoo;tourist_attraction;park;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJT0jeUwBtBjERiRFaI1TdtzU,Tatai waterfalls,attraction,tourist_attraction,Tourist Attraction,,11.586663999999999,103.09695599999999,"H3PW+MQ8, ឃុំ ប៉ាក់ខ្លង, Cambodia",4.5,44,,OPERATIONAL,,https://maps.google.com/?cid=3870805758188327305&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJ98oHAQBbBjER-qbUH1-MYLY,កោះកុងក្រៅ ឆ្នេរទី ៤,attraction,tourist_attraction,Tourist Attraction,,11.2796174,102.9861664,"7XHP+RFV, កោះកុង, Cambodia",4.9,12,,OPERATIONAL,,https://maps.google.com/?cid=13141658052850919162&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJ2wHHdwB7BjERgTX4WjHLTdU,ឃុនឆាងឃុនផែន,attraction,tourist_attraction,Tourist Attraction,,11.614946000000002,102.986401,"JX7P+VGR, Khemarak Phoumin, Cambodia",5,8,,OPERATIONAL,,https://maps.google.com/?cid=15370164516125422977&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJozurE4p7BjERqRb3MzMHpuQ,Koh Kong Maritime Port Monument,attraction,tourist_attraction,Tourist Attraction,,11.616178999999999,102.97960499999999,"JX8H+JM7 Cambodian-Vietnam Statue, Khemarak Phoumin, Cambodia",4.4,26,,OPERATIONAL,,https://maps.google.com/?cid=16475864203278096041&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJJzIkHyF7BjERJBSVWQz-tCQ,ខ្ញុំ ️កោះកុង,attraction,tourist_attraction,Tourist Attraction,,11.6154494,102.98367030000001,"JX8M+5FF, ខ្ញុំ❤️កោះកុង, Cambodia",4.2,12,,OPERATIONAL,,https://maps.google.com/?cid=2645018210169328676&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJLzOyEwB3BjERMPA4n5T0pvs,ដំណាក់ក្បូន,attraction,tourist_attraction,Tourist Attraction,,11.761749,103.05962199999999,"Q365+MR, ឃុំ ប៉ាក់ខ្លង, Cambodia",4.8,14,,OPERATIONAL,,https://maps.google.com/?cid=18133449868817526832&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJ-XgpIABxBjERxGOvuiXgl_k,ផ្លូវបត់ចូលទៅទឹកធ្លាក់ភូមិន្ទ,attraction,tourist_attraction,Tourist Attraction,,11.605656999999999,103.02503659999999,"J24G+72, Khemarak Phoumin, Cambodia",4.7,3,,OPERATIONAL,,https://maps.google.com/?cid=17985090089577833412&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJhSxwt9htBjERCkaVAhf-nOM,Ta Chat Waterfall (ទឹកធ្លាក់តាចាត),attraction,tourist_attraction,Tourist Attraction,,11.513024,103.10088100000002,"G472+69, ឃុំ កោះកាពិ, Cambodia",4.3,8,,OPERATIONAL,,https://maps.google.com/?cid=16401263317757543946&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJBVUdzWhvBjER6mgpd-ENGwQ,រមណីយដ្ឋានអេកូទេសចរណ៍ ពាមក្រសោប,attraction,tourist_attraction,Tourist Attraction,,11.5619724,102.99526340000001,"HX7V+6XH, Krasaop National Park Rd, Khemarak Phoumin, Cambodia",4.4,12,,OPERATIONAL,,https://maps.google.com/?cid=295845462540904682&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
ChIJ0xGKsghlBjERBhXBZY7mGkE,Bak,attraction,tourist_attraction,Tourist Attraction,,11.583918599999999,102.94279739999999,"HWMV+H47, Unnamed Road, ឃុំ ប៉ាក់ខ្លង, Cambodia",4.1,57,,OPERATIONAL,,https://maps.google.com/?cid=4691315461126690054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,tourist_attraction;point_of_interest;establishment,tourist_attraction,Koh Kong town
